"﻿Data Import Template","","","","","","","","","","","","","","","","","","","",""
"Table:","Supplier","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Notes:","","","","","","","","","","","","","","","","","","","",""
"Please do not change the template headings.","","","","","","","","","","","","","","","","","","","",""
"First data column must be blank.","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, leave the ""name"" (ID) column blank.","","","","","","","","","","","","","","","","","","","",""
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","","","","","","","","","","","","","","","","","","","",""
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.","","","","","","","","","","","","","","","","","","","",""
"For updating, you can update only selective columns.","","","","","","","","","","","","","","","","","","","",""
"You can only upload upto 5000 records in one go. (may be less in some cases)","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"DocType:","Supplier","","","","","","","","","","","","","","","","","~","Party Account","accounts"
"Column Labels:","ID","Supplier Name","Supplier Type","Country","Tax ID","Print Language","Disabled","Warn RFQs","Warn POs","Prevent RFQs","Prevent POs","Billing Currency","Price List","Default Payment Terms Template","Website","Supplier Details","Is Frozen","","Company","Account"
"Column Name:","name","supplier_name","supplier_type","country","tax_id","language","disabled","warn_rfqs","warn_pos","prevent_rfqs","prevent_pos","default_currency","default_price_list","payment_terms","website","supplier_details","is_frozen","~","company","account"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes"
"Type:","Data (text)","Data","Link","Link","Data","Link","Check","Check","Check","Check","Check","Link","Link","Link","Data","Text","Check","","Link","Link"
"Info:","","","Valid Supplier Type","Valid Country","","Valid Language","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","Valid Currency","Valid Price List","Valid Payment Terms Template","","","0 or 1","","Valid Company","Valid Account"
"Start entering data below this line","","","","","","","","","","","","","","","","","","","",""
"","""Hidalgo Export""","Hidalgo Export","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Las Antillas Export""","Las Antillas Export","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""ML Export""","ML Export","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Agroesnica""","Agroesnica","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""S&A Export""","S&A Export","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Agritrade Farms LLC""","Agritrade Farms LLC","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Caribbean Fresh Products""","Caribbean Fresh Products","Exporter","Canada","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Cayena Export, SRL""","Cayena Export, SRL","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Domex Superfresh growers""","Domex Superfresh growers","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Double Green Wholesales Inc.""","Double Green Wholesales Inc.","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""EL Sol Brands Inc""","EL Sol Brands Inc","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Empresas Villar USA LLC""","Empresas Villar USA LLC","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Exportadora Restituyo SRL""","Exportadora Restituyo SRL","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Fern Ridge Produce Ltd.""","Fern Ridge Produce Ltd.","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Flores de Jarabacoa""","Flores de Jarabacoa","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Freshway Produce Inc.""","Freshway Produce Inc.","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Frumar Marketing Pvt Ltd.""","Frumar Marketing Pvt Ltd.","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Hidalgo Export C.XA.""","Hidalgo Export C.XA.","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""K.P. Export S.A.""","K.P. Export S.A.","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""KB FARM LLC""","KB FARM LLC","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""L & M Company""","L & M Company","Exporter","United States","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Las Antillas Export S.A.""","Las Antillas Export S.A.","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Mifinca Fresh Produce LLC.""","Mifinca Fresh Produce LLC.","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Patel Shippers""","Patel Shippers","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Sembrado""","Sembrado","Exporter","Canada","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""SWG Dominicana, S.A.""","SWG Dominicana, S.A.","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""T Y T Export S A""","T Y T Export S A","Exporter","Canada","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Vega Produce LLC""","Vega Produce LLC","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Joco Produce""","Joco Produce","Exporter","Canada","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""S&A Import & Export, C por A.""","S&A Import & Export, C por A.","Exporter","Dominican Republic","","en","0","0","0","0","0","","","","","","0","","","2200 - USD Accounts Payable - ."
"","""Canada Herb""","Canada Herb","Local Wholesalers","Canada","","en","0","0","0","0","0","","","","","","0","","","2100 - CAD Accounts Payable  - ."
"","""Canadian Fruit & Produce Co. Inc.""","Canadian Fruit & Produce Co. Inc.","Local Wholesalers","Canada","","en","0","0","0","0","0","","","","","","0","","","2100 - CAD Accounts Payable  - ."
"","""Canadian fruits and Produce""","Canadian fruits and Produce","Local Wholesalers","Canada","","en","0","0","0","0","0","","","","","","0","","","2100 - CAD Accounts Payable  - ."
"","""F.G.Lister & Co.""","F.G.Lister & Co.","Local Wholesalers","Canada","","en","0","0","0","0","0","","","","","","0","","","2100 - CAD Accounts Payable  - ."
"","""Fresh Advancements Inc""","Fresh Advancements Inc","Local Wholesalers","Canada","","en","0","0","0","0","0","","","","","","0","","","2100 - CAD Accounts Payable  - ."
"","""Fresh Taste Produce Limited""","Fresh Taste Produce Limited","Local Wholesalers","Canada","","en","0","0","0","0","0","","","","","","0","","","2100 - CAD Accounts Payable  - ."
"","""Green Vally Farms""","Green Vally Farms","Local Wholesalers","Canada","","en","0","0","0","0","0","","","","","","0","","","2100 - CAD Accounts Payable  - ."
"","""Groenewegen Produce Inc.""","Groenewegen Produce Inc.","Local Wholesalers","Canada","","en","0","0","0","0","0","","","","","","0","","","2100 - CAD Accounts Payable  - ."
